,s1,s2,a,r,s_1,s_2
1056,-0.07310907542705536,0.0018563782796263695,2.0,0.3506442007622462,-0.07269280403852463,0.0004162681580055505
1057,-0.07269280403852463,0.0004162681580055505,2.0,0.347361785790377,-0.07371732592582703,-0.0010245193261653185
1058,-0.07371732592582703,-0.0010245193261653185,2.0,0.3395526731546083,-0.07618095725774765,-0.0024636329617351294
1059,-0.07618095725774765,-0.0024636329617351294,2.0,0.32743557471566775,-0.080079585313797,-0.003898626659065485
1060,-0.080079585313797,-0.003898626659065485,2.0,0.31135051387542456,-0.08540641516447067,-0.0053268298506736755
1061,-0.08540641516447067,-0.0053268298506736755,2.0,0.2917497930625933,-0.09215163439512253,-0.006745217368006706
1062,-0.09215163439512253,-0.006745217368006706,2.0,0.269185632440747,-0.10030192136764526,-0.00815028976649046
1063,-0.10030192136764526,-0.00815028976649046,2.0,0.24429420844079175,-0.10983987897634506,-0.009537961333990097
1064,-0.10983987897634506,-0.009537961333990097,2.0,0.21777629758921807,-0.12074334174394608,-0.010903456248342991
1065,-0.12074334174394608,-0.010903456248342991,2.0,0.19037464504261103,-0.13298456370830536,-0.012241228483617306
1066,-0.13298456370830536,-0.012241228483617306,2.0,0.16284800397519003,-0.14652946591377258,-0.013544897548854351
1067,-0.14652946591377258,-0.013544897548854351,2.0,0.13594306546880847,-0.16133667528629303,-0.014807214960455894
1068,-0.16133667528629303,-0.014807214960455894,2.0,0.11036431886058515,-0.17735673487186432,-0.01602005586028099
1069,-0.17735673487186432,-0.01602005586028099,2.0,0.08674365817598897,-0.19453118741512299,-0.017174452543258667
1070,-0.19453118741512299,-0.017174452543258667,2.0,0.06561062644891405,-0.21279186010360718,-0.018260672688484192
1071,-0.21279186010360718,-0.018260672688484192,2.0,0.047365370782542646,-0.23206019401550293,-0.019268333911895752
1072,-0.23206019401550293,-0.019268333911895752,2.0,0.03225603450283331,-0.25224676728248596,-0.02018657699227333
1073,-0.25224676728248596,-0.02018657699227333,0.0,0.019413815409115662,-0.27525103092193604,-0.02300427109003067
1074,-0.27525103092193604,-0.02300427109003067,2.0,0.010318222728122946,-0.29895031452178955,-0.023699279874563217
1075,-0.29895031452178955,-0.023699279874563217,2.0,0.004528115807485101,-0.3232097923755646,-0.02425946481525898
1076,-0.3232097923755646,-0.02425946481525898,2.0,0.0014155716900523703,-0.3478832542896271,-0.024673476815223694
1077,-0.3478832542896271,-0.024673476815223694,2.0,0.0002009166639185511,-0.372814416885376,-0.024931149557232857
1078,-0.372814416885376,-0.024931149557232857,2.0,1.0102004112689099e-07,-0.3978382647037506,-0.02502385899424553
1079,-0.3978382647037506,-0.02502385899424553,1.0,-0.1,-0.4237831234931946,-0.025944843888282776
1080,-0.4237831234931946,-0.025944843888282776,1.0,-0.1,-0.45046544075012207,-0.026682324707508087
1081,-0.45046544075012207,-0.026682324707508087,1.0,-0.1,-0.4776918888092041,-0.027226435020565987
